Title,Description,Img_Link
The Simpsons,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",https://www.themoviedb.org/t/p/w220_and_h330_face/zI3E2a3WYma5w8emI35mgq5Iurx.jpg
纵有疾风起,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/A9vJ2eDbFPDAflXvsrnCiw80skN.jpg
The Good Doctor,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",https://www.themoviedb.org/t/p/w220_and_h330_face/luhKkdD80qe62fwop6sdrXK9jUT.jpg
Emmerdale,"The lives of several families in the Yorkshire Dales revolve around a farm and the nearby village. With murders, affairs, lies, deceit, laughter and tears, it's all there in the village.",https://www.themoviedb.org/t/p/w220_and_h330_face/ualtuRRNYa9Fj61wSuBVcuvaVDP.jpg
Mi Camino es Amarte,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/1Fp0IVmjRdTUD2FyXAzn07H4Dvt.jpg
The Flash,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",https://www.themoviedb.org/t/p/w220_and_h330_face/lJA2RCMfsWoskqlQhXPSLFQGXEJ.jpg
Euronews Hoy,We don't have an overview translated in English. Help us expand our database by adding one.,https://www.themoviedb.org/t/p/w220_and_h330_face/ujeIjo0GTRbFJcgjhgFZda78A90.jpg
Runaway,"Mehmet, a war photographer, Ilker, a reporter friend of Mehmet, and a group from Germany, with an activist called Zeynep among them, cross the border illegally to visit a Yazidi village. The village is then raided by a radical terrorist organization, and they get captured. They are going to have to put up the fight of their lives to escape.",https://www.themoviedb.org/t/p/w220_and_h330_face/aCQZIvBvMVrJaSq3t49nf9NbjBO.jpg
The Lord of the Rings: The Rings of Power,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.",https://www.themoviedb.org/t/p/w220_and_h330_face/mYLOqiStMxDK3fYZFirgrMt8z5d.jpg
Hasta que la plata nos separe,"Rafael Méndez is an ethical and noble man who dedicates his life to selling household items and is dating his neighbor Vicky Pardo. Alejandra Maldonado is a successful businesswoman and manager of the Ramenautos car dealership, she is engaged to Luciano Valenzuela. Rafael and Alejandra suffer a car accident that will trigger a series of events that will bring them closer. Rafael must pay off the debt he has left Alejandra with after the accident and this closeness will lead them to fall in love despite their social differences. However, circumstances and their respective families and partners will do everything possible to prevent their love from happening.",https://www.themoviedb.org/t/p/w220_and_h330_face/wWlPY4zmuJDelcOwb4ph9lGo5Ew.jpg
Doctor Who,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.",https://www.themoviedb.org/t/p/w220_and_h330_face/sz4zF5z9zyFh8Z6g5IQPNq91cI7.jpg
Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",https://www.themoviedb.org/t/p/w220_and_h330_face/vQiryp6LioFxQThywxbC6TuoDjy.jpg
